ID_cliente,segmento_oculto,score_crediticio,ingresos_mensuales,uso_credito,historial_impagos,frecuencia_pago,saldo_actual,antiguedad_cliente,comportamiento_app,prob_impago,impago,cluster_kmeans
C00000,bajo_riesgo,802.59,14813.81,0.214,0,8.31,4254.65,49.6,alto,0.0005,0,0
C00001,medio_riesgo,638.67,9237.82,0.443,2,5.26,10084.21,11.7,bajo,0.0136,0,1
C00002,bajo_riesgo,751.76,15392.89,0.022,0,9.49,808.37,21.5,alto,0.0004,0,0
C00003,bajo_riesgo,749.43,13244.53,0.202,0,3.93,3160.19,8.1,alto,0.0008,0,0
C00004,alto_riesgo,707.97,7969.93,0.579,2,4.05,7330.93,34.9,bajo,0.0167,0,5
C00005,bajo_riesgo,795.64,10617.85,0.136,0,5.1,1191.98,17.0,alto,0.0011,0,0
C00006,medio_riesgo,736.39,7010.28,0.349,1,5.41,180.6,43.5,medio,0.0071,0,4
C00007,bajo_riesgo,779.67,14672.11,0.179,0,4.33,2738.07,6.7,medio,0.0005,0,2
C00008,medio_riesgo,729.21,5230.01,0.278,1,6.39,190.92,13.1,bajo,0.0095,0,3
C00009,medio_riesgo,718.66,8546.38,0.363,1,1.69,4946.07,46.9,medio,0.0056,0,4
C00010,bajo_riesgo,760.62,15441.82,0.275,0,7.57,3230.59,7.0,alto,0.0006,0,0
C00011,bajo_riesgo,705.98,16446.06,0.103,0,4.64,6266.8,36.1,medio,0.0004,0,2
C00012,bajo_riesgo,737.29,14899.94,0.207,0,5.13,1003.62,36.1,medio,0.0006,0,2
C00013,medio_riesgo,643.7,9784.51,0.375,0,4.97,3758.29,42.5,bajo,0.0028,0,3
C00014,bajo_riesgo,836.65,14770.84,0.211,0,5.56,1826.11,36.5,alto,0.0005,0,0
C00015,alto_riesgo,349.07,7082.72,0.382,0,3.46,9215.03,34.4,bajo,0.0115,0,1
C00016,bajo_riesgo,738.97,14341.04,0.09,1,4.8,3216.27,51.4,alto,0.0012,0,0
C00017,medio_riesgo,541.8,8139.45,0.171,0,5.48,823.81,45.3,medio,0.0041,0,4
C00018,bajo_riesgo,744.91,18509.2,0.078,0,5.47,2028.69,54.1,alto,0.0003,0,0
C00019,bajo_riesgo,785.78,14248.46,0.062,1,6.17,7962.7,15.9,medio,0.001,0,2
C00020,alto_riesgo,371.94,8065.88,0.487,0,2.92,9832.42,41.8,bajo,0.01,0,1
C00021,bajo_riesgo,745.18,19566.93,0.154,0,4.03,4195.35,54.3,medio,0.0002,0,2
C00022,alto_riesgo,488.05,4564.8,0.707,3,2.4,4008.93,26.7,bajo,0.1326,0,5
C00023,medio_riesgo,713.63,7381.49,0.655,0,2.8,1246.47,16.3,bajo,0.0051,0,3
C00024,bajo_riesgo,817.95,11453.5,0.106,0,6.22,3262.28,58.1,alto,0.0009,0,0
C00025,alto_riesgo,525.98,5439.86,0.698,0,1.38,1759.94,46.1,bajo,0.0137,0,3
C00026,bajo_riesgo,743.89,9413.71,0.203,0,2.77,1431.56,17.3,alto,0.0018,0,0
C00027,alto_riesgo,333.43,6273.89,0.355,3,0.94,6165.82,58.0,bajo,0.1017,1,5
C00028,medio_riesgo,643.88,5923.04,0.704,1,2.13,3713.28,27.9,bajo,0.0176,0,3
C00029,medio_riesgo,570.94,7221.29,0.304,0,3.47,3324.03,40.0,medio,0.0053,0,4
C00030,bajo_riesgo,798.52,19239.38,0.059,0,6.11,3241.42,25.2,alto,0.0002,0,0
C00031,bajo_riesgo,693.1,18101.46,0.055,0,4.05,4675.21,40.5,alto,0.0003,0,0
C00032,alto_riesgo,640.14,6112.97,0.845,0,3.09,3344.66,29.3,bajo,0.0102,0,3
C00033,medio_riesgo,656.93,8955.17,0.725,0,5.56,3636.32,25.7,bajo,0.0048,0,3
C00034,medio_riesgo,563.71,9986.35,0.239,2,4.36,4243.72,3.1,medio,0.0115,0,4
C00035,medio_riesgo,567.5,10194.52,0.286,0,4.42,4497.16,14.5,medio,0.0029,0,4
C00036,alto_riesgo,577.21,9035.27,0.734,1,3.92,5395.06,23.1,bajo,0.012,0,3
C00037,bajo_riesgo,722.24,16043.92,0.476,0,8.27,843.43,6.9,alto,0.0007,0,0
C00038,medio_riesgo,521.1,6964.55,0.409,0,3.09,3354.76,47.0,medio,0.0073,0,4
C00039,medio_riesgo,593.04,14406.3,0.292,0,6.82,3276.4,35.4,medio,0.0012,0,2
C00040,bajo_riesgo,843.54,12529.54,0.384,0,6.04,1525.57,26.0,alto,0.0009,0,0
C00041,alto_riesgo,622.88,6240.55,0.502,1,0.0,8290.84,46.9,bajo,0.0139,0,1
C00042,medio_riesgo,600.74,7323.85,0.099,0,3.83,3183.91,37.3,medio,0.0037,0,4
C00043,bajo_riesgo,738.89,17675.83,0.205,0,8.06,5299.51,37.6,alto,0.0004,0,0
C00044,bajo_riesgo,736.42,13623.34,0.306,0,8.85,1480.56,20.0,medio,0.0009,0,2
C00045,medio_riesgo,587.99,6302.39,0.506,0,4.64,2155.98,47.8,medio,0.0076,0,4
C00046,bajo_riesgo,809.76,20674.97,0.03,0,7.33,1154.24,14.8,medio,0.0001,0,2
C00047,bajo_riesgo,777.12,19788.14,0.227,0,6.45,2426.46,3.6,alto,0.0002,0,0
C00048,bajo_riesgo,814.58,15321.02,0.026,0,5.19,2963.34,17.8,alto,0.0004,0,0
C00049,medio_riesgo,554.1,5602.74,0.539,1,4.33,928.19,32.4,bajo,0.0201,0,3
C00050,medio_riesgo,605.78,6028.15,0.449,0,4.87,5465.48,4.5,bajo,0.0071,0,3
C00051,bajo_riesgo,781.33,16208.54,0.154,0,3.25,4783.24,57.8,medio,0.0004,0,2
