ID_cliente,segmento_oculto,score_crediticio,ingresos_mensuales,uso_credito,historial_impagos,frecuencia_pago,saldo_actual,antiguedad_cliente,comportamiento_app,prob_impago,impago
C00000,bajo_riesgo,741.58,9255.15,0.341,0,8.29,6613.7,50.7,alto,0.0022,0
C00001,bajo_riesgo,705.61,13997.66,0.272,0,7.44,785.34,53.8,alto,0.0009,0
C00002,medio_riesgo,661.67,9846.17,0.38,1,4.16,2240.38,20.9,bajo,0.0052,0
C00003,bajo_riesgo,876.87,12534.4,0.125,0,5.75,1826.9,54.0,alto,0.0006,0
C00004,bajo_riesgo,782.47,7414.67,0.189,0,8.69,481.42,23.6,medio,0.0023,0
C00005,bajo_riesgo,778.05,16868.76,0.107,0,7.87,2803.14,46.8,alto,0.0003,0
C00006,medio_riesgo,611.37,9611.8,0.325,2,4.45,2024.98,35.1,medio,0.0119,0
C00007,bajo_riesgo,743.59,15274.45,0.057,0,7.26,178.24,48.8,alto,0.0005,0
C00008,bajo_riesgo,768.77,12437.1,0.117,0,5.87,5076.72,36.5,medio,0.0008,0
C00009,alto_riesgo,581.52,6672.74,0.414,2,6.45,1413.68,47.8,bajo,0.0258,0
C00010,medio_riesgo,585.19,1500.0,0.602,0,7.37,9309.73,34.8,medio,0.0222,0
C00011,medio_riesgo,523.1,10742.48,0.501,1,3.26,2685.97,7.0,medio,0.0076,0
C00012,alto_riesgo,457.32,3012.92,0.752,3,0.7,13767.25,47.3,bajo,0.1942,1
C00013,medio_riesgo,737.54,12789.56,0.265,1,5.07,8858.41,41.6,medio,0.002,0
C00014,bajo_riesgo,844.72,16859.78,0.084,0,8.64,1842.72,46.6,alto,0.0003,0
C00015,alto_riesgo,489.59,5798.86,0.87,1,2.3,802.64,5.8,bajo,0.0344,0
C00016,medio_riesgo,643.72,10312.42,0.396,1,4.36,7916.01,41.4,medio,0.0051,0
C00017,medio_riesgo,666.03,6680.56,0.359,0,3.23,4742.73,46.5,bajo,0.0047,0
C00018,bajo_riesgo,730.93,11890.71,0.331,0,9.55,1697.93,22.2,medio,0.0013,0
C00019,bajo_riesgo,786.2,16326.4,0.335,0,8.18,4781.39,57.1,alto,0.0005,0
C00020,alto_riesgo,494.2,4638.02,0.613,0,1.34,7725.06,40.7,bajo,0.0159,0
C00021,medio_riesgo,665.06,8583.54,0.31,0,7.29,3266.89,3.6,medio,0.0031,0
C00022,alto_riesgo,381.26,6976.31,0.243,4,2.77,8182.68,40.1,bajo,0.1304,0
C00023,bajo_riesgo,754.05,14001.53,0.09,1,3.95,825.62,0.9,alto,0.0012,0
C00024,medio_riesgo,587.69,6550.43,0.258,0,1.63,3249.72,9.9,medio,0.0054,0
C00025,medio_riesgo,591.97,11881.45,0.383,1,4.48,2115.83,23.2,medio,0.0043,0
C00026,bajo_riesgo,744.49,13732.35,0.502,0,9.24,2755.18,19.8,medio,0.0011,0
C00027,medio_riesgo,548.68,7200.91,0.458,1,6.85,7405.29,43.3,medio,0.0136,0
C00028,medio_riesgo,665.54,8096.45,0.251,0,8.05,4118.59,18.0,bajo,0.0031,0
C00029,bajo_riesgo,746.24,23052.79,0.2,1,2.17,2044.47,46.7,alto,0.0002,0
C00030,medio_riesgo,660.27,7669.4,0.222,0,5.63,3347.3,16.5,bajo,0.0033,0
C00031,bajo_riesgo,804.82,20346.46,0.187,0,4.23,3075.34,33.1,alto,0.0002,0
C00032,alto_riesgo,439.17,9191.52,0.641,0,1.65,3706.26,38.0,bajo,0.0079,0
C00033,medio_riesgo,565.57,7369.87,0.837,0,6.97,2289.36,56.3,bajo,0.0098,0
C00034,medio_riesgo,650.52,4275.17,0.137,1,5.54,7411.09,1.7,medio,0.0122,0
C00035,bajo_riesgo,774.73,18269.72,0.199,0,6.14,1509.38,18.6,alto,0.0003,0
C00036,alto_riesgo,333.46,10487.6,0.882,1,1.51,2477.31,12.2,bajo,0.0221,0
C00037,bajo_riesgo,785.54,11437.22,0.142,0,7.75,1285.93,41.5,alto,0.001,0
C00038,medio_riesgo,490.16,6840.18,0.323,1,4.86,5410.71,28.2,medio,0.0148,0
C00039,medio_riesgo,647.4,7069.58,0.251,1,8.29,5293.17,32.2,medio,0.0081,0
C00040,medio_riesgo,542.03,9230.12,0.663,0,2.58,8360.04,4.8,bajo,0.0059,0
C00041,bajo_riesgo,836.25,9780.95,0.203,0,8.3,3989.64,33.8,alto,0.0013,0
C00042,alto_riesgo,488.35,4907.55,0.67,0,0.0,1869.63,18.1,bajo,0.0164,0
C00043,medio_riesgo,677.0,7684.86,0.151,1,3.87,1039.44,46.4,bajo,0.0058,0
C00044,bajo_riesgo,762.77,18362.74,0.123,0,5.46,3730.98,21.8,alto,0.0003,0
C00045,bajo_riesgo,724.59,12334.16,0.433,0,3.21,2195.09,2.2,alto,0.0014,0
C00046,alto_riesgo,544.49,6902.9,0.557,1,2.53,17434.19,3.9,bajo,0.0164,0
C00047,medio_riesgo,565.63,8940.62,0.32,1,1.57,1313.14,18.4,medio,0.0078,0
C00048,medio_riesgo,596.13,14662.57,0.578,0,7.13,4146.8,19.6,bajo,0.0015,0
C00049,bajo_riesgo,792.13,18611.81,0.069,0,7.48,8775.69,41.0,alto,0.0002,0
C00050,alto_riesgo,558.91,6364.6,0.818,2,4.24,4338.35,17.6,bajo,0.0466,0
C00051,medio_riesgo,736.83,11388.92,0.474,0,4.26,13285.14,46.1,bajo,0.0017,0
C00052,alto_riesgo,619.86,5314.8,0.646,0,3.46,2903.64,33.2,bajo,0.01,0
C00053,bajo_riesgo,741.32,21425.28,0.099,0,7.44,4230.91,18.3,alto,0.0001,0
C00054,alto_riesgo,546.02,5002.08,0.77,1,1.01,9385.39,15.4,bajo,0.0303,0
C00055,medio_riesgo,619.43,9137.04,0.218,0,5.72,9595.64,19.4,medio,0.0028,0
C00056,medio_riesgo,524.05,10697.68,0.411,0,4.91,3451.53,18.6,bajo,0.0034,0
C00057,bajo_riesgo,733.15,18312.59,0.033,0,6.04,3594.93,35.4,medio,0.0003,0
C00058,bajo_riesgo,775.1,13509.93,0.236,0,7.06,2549.75,47.0,alto,0.0008,0
C00059,bajo_riesgo,774.57,18532.32,0.073,0,4.23,4939.08,13.4,medio,0.0002,0
C00060,alto_riesgo,557.34,2502.87,0.773,3,0.97,4199.56,47.1,bajo,0.1687,0
C00061,bajo_riesgo,841.75,15666.82,0.034,0,2.89,1237.26,2.2,medio,0.0003,0
C00062,alto_riesgo,481.44,4874.16,0.48,0,4.59,3996.23,18.9,bajo,0.0135,0
C00063,alto_riesgo,624.69,5267.52,0.784,1,1.53,3337.3,20.8,bajo,0.0233,0
C00064,bajo_riesgo,736.06,15277.88,0.084,0,2.35,2900.91,2.6,medio,0.0005,0
C00065,medio_riesgo,585.62,6111.31,0.328,0,1.15,8487.4,32.4,bajo,0.0065,0
C00066,bajo_riesgo,673.62,18606.02,0.146,1,4.46,2482.28,3.2,alto,0.0007,0
C00067,bajo_riesgo,825.74,14408.72,0.075,0,6.24,429.92,39.1,alto,0.0004,0
C00068,medio_riesgo,689.67,7241.49,0.22,0,2.49,1964.59,39.3,medio,0.0033,0
C00069,alto_riesgo,512.81,7181.29,0.421,0,0.0,9866.54,10.8,bajo,0.0073,0
C00070,bajo_riesgo,821.62,13473.34,0.202,1,6.44,692.34,4.8,alto,0.0013,0
C00071,alto_riesgo,559.63,8360.99,0.46,1,2.2,10303.69,5.2,bajo,0.0105,0
C00072,bajo_riesgo,777.02,10832.4,0.021,0,7.43,6153.75,16.0,alto,0.001,0
C00073,bajo_riesgo,843.45,14804.86,0.224,0,4.6,1134.88,47.1,alto,0.0005,0
C00074,medio_riesgo,487.74,2320.55,0.486,0,4.11,4867.83,34.8,medio,0.022,0
C00075,bajo_riesgo,799.93,14667.05,0.217,0,1.57,1691.14,35.5,alto,0.0005,0
C00076,bajo_riesgo,865.38,19716.15,0.359,0,4.36,1375.29,29.4,medio,0.0002,0
C00077,alto_riesgo,572.63,6462.33,0.699,2,2.16,9369.13,36.3,bajo,0.0384,0
C00078,bajo_riesgo,782.96,11017.26,0.266,0,8.3,3002.48,57.2,alto,0.0012,0
C00079,bajo_riesgo,826.89,17200.11,0.123,0,6.43,4139.42,51.4,alto,0.0003,0
C00080,alto_riesgo,531.62,5451.15,0.59,0,0.0,7834.56,2.2,bajo,0.0118,0
C00081,alto_riesgo,523.33,8902.38,0.836,1,6.72,12072.44,22.7,bajo,0.0164,0
C00082,alto_riesgo,549.65,5867.69,0.959,0,4.81,5603.23,46.1,bajo,0.016,0
C00083,bajo_riesgo,779.19,8439.64,0.073,0,4.37,2437.36,58.1,alto,0.0017,0
C00084,medio_riesgo,516.02,12213.94,0.33,2,2.47,790.51,11.1,bajo,0.0095,0
C00085,medio_riesgo,616.95,9142.62,0.343,1,7.89,2797.39,37.3,bajo,0.0066,0
C00086,medio_riesgo,585.58,10540.16,0.406,1,2.84,7603.16,53.9,bajo,0.0059,0
C00087,bajo_riesgo,670.14,18266.22,0.28,0,6.39,515.11,22.5,alto,0.0004,0
C00088,alto_riesgo,456.07,8092.07,0.676,0,2.83,5093.1,22.3,bajo,0.0097,0
C00089,medio_riesgo,536.82,4877.74,0.467,1,4.1,4528.19,6.1,medio,0.0224,0
C00090,bajo_riesgo,792.15,13232.63,0.059,0,6.7,3363.78,20.5,alto,0.0006,0
C00091,alto_riesgo,494.99,6683.02,0.889,4,1.67,3253.55,56.1,bajo,0.197,0
C00092,bajo_riesgo,794.88,11873.44,0.141,0,6.36,1035.95,48.8,alto,0.0009,0
C00093,medio_riesgo,620.5,7779.74,0.374,1,8.48,640.39,14.0,medio,0.0088,0
C00094,medio_riesgo,602.79,8213.0,0.655,0,5.22,5205.14,57.7,bajo,0.006,0
C00095,medio_riesgo,628.28,7955.54,0.258,1,4.72,3599.94,6.3,medio,0.0073,0
C00096,alto_riesgo,427.99,8332.49,0.429,0,1.46,5495.68,59.6,bajo,0.0075,0
C00097,bajo_riesgo,845.8,15313.37,0.188,0,7.86,2035.27,27.7,alto,0.0004,0
C00098,bajo_riesgo,767.35,13598.78,0.053,0,8.72,8298.1,14.0,alto,0.0006,0
C00099,medio_riesgo,590.16,10303.6,0.302,0,6.84,3688.55,11.6,bajo,0.0027,0
C00100,alto_riesgo,403.94,4924.7,0.85,0,2.03,5655.06,43.9,bajo,0.0259,0
C00101,medio_riesgo,633.59,6605.11,0.056,0,5.71,2102.42,36.8,bajo,0.0037,0
C00102,medio_riesgo,510.32,11272.96,0.491,0,3.32,3721.87,58.0,medio,0.0035,0
C00103,alto_riesgo,473.7,8693.42,0.36,3,4.75,2594.62,56.2,bajo,0.0441,0
C00104,bajo_riesgo,758.43,16280.92,0.074,0,9.42,795.39,50.2,alto,0.0004,0
C00105,alto_riesgo,426.7,8543.48,0.824,1,0.0,3278.91,15.8,bajo,0.023,0
C00106,medio_riesgo,616.28,7644.02,0.438,0,1.79,3903.86,49.3,medio,0.005,0
C00107,alto_riesgo,381.29,9103.44,0.675,1,2.94,5939.84,43.8,bajo,0.0197,0
C00108,bajo_riesgo,740.48,14254.17,0.097,0,5.81,1642.37,53.7,alto,0.0006,0
C00109,medio_riesgo,524.45,9483.69,0.203,0,5.15,5359.54,27.9,medio,0.0034,0
C00110,bajo_riesgo,761.9,20974.11,0.055,0,6.47,2412.51,13.6,alto,0.0001,0
C00111,bajo_riesgo,842.11,19263.38,0.259,0,6.92,493.7,50.9,medio,0.0002,0
C00112,alto_riesgo,490.79,4278.61,0.763,0,2.11,11536.29,36.8,bajo,0.0206,0
C00113,medio_riesgo,532.08,6352.16,0.419,0,5.12,9485.22,28.9,medio,0.0081,0
C00114,medio_riesgo,640.33,10880.22,0.537,0,1.82,4356.98,37.6,bajo,0.0027,0
C00115,bajo_riesgo,817.14,14551.65,0.091,0,8.53,2571.59,53.9,alto,0.0005,0
C00116,alto_riesgo,474.28,8427.99,0.717,0,1.04,6428.36,7.9,bajo,0.009,0
C00117,alto_riesgo,442.07,4614.61,0.66,0,3.91,2673.69,12.0,bajo,0.0197,0
C00118,bajo_riesgo,772.26,11432.9,0.059,0,6.35,3907.71,7.2,alto,0.0009,0
C00119,bajo_riesgo,788.83,19867.36,0.047,0,3.89,3738.17,35.6,medio,0.0002,0
C00120,alto_riesgo,564.5,5111.04,0.624,1,1.97,6493.39,10.5,bajo,0.0237,0
C00121,medio_riesgo,656.01,7945.88,0.402,0,4.95,3648.53,4.1,medio,0.004,0
C00122,bajo_riesgo,757.27,19453.23,0.197,0,4.38,1679.95,36.1,alto,0.0002,0
C00123,bajo_riesgo,690.96,11965.23,0.195,0,5.74,1015.11,16.1,alto,0.0013,0
C00124,medio_riesgo,545.62,7834.39,0.344,1,6.03,395.82,36.5,medio,0.0106,0
C00125,alto_riesgo,489.33,9294.99,0.968,1,1.21,14955.55,36.4,bajo,0.0195,0
C00126,bajo_riesgo,859.26,15960.95,0.645,0,4.74,1998.58,16.4,alto,0.0006,0
C00127,bajo_riesgo,691.59,18477.59,0.388,2,3.87,323.86,52.1,alto,0.0017,0
C00128,bajo_riesgo,837.72,17890.65,0.328,0,5.35,1063.24,37.2,alto,0.0003,0
C00129,bajo_riesgo,792.35,12052.8,0.173,0,2.97,2670.53,36.5,alto,0.0009,0
C00130,medio_riesgo,719.34,11640.39,0.212,1,5.61,1363.72,52.9,medio,0.0025,0
C00131,alto_riesgo,560.84,9107.52,0.814,1,0.0,7733.99,55.8,bajo,0.0137,0
C00132,bajo_riesgo,791.67,16396.88,0.084,0,1.99,2236.93,49.3,alto,0.0003,0
C00133,medio_riesgo,558.69,7751.14,0.153,0,3.62,2143.83,34.5,medio,0.0041,0
C00134,alto_riesgo,438.47,3360.82,0.433,0,4.62,6795.58,32.1,bajo,0.0195,0
C00135,medio_riesgo,544.36,8096.87,0.236,1,1.34,6840.53,19.4,bajo,0.0088,0
C00136,bajo_riesgo,726.63,12605.81,0.285,0,8.95,2283.32,8.6,medio,0.0011,0
C00137,medio_riesgo,602.36,7117.06,0.552,0,5.31,2305.06,46.2,bajo,0.0066,0
